amount,REGION,PRODUCTID,FAMILY_ALIAS
21.6,East,4,"Root Beer"
39.6,East,4,"Root Beer"
5.76,East,4,"Root Beer"
5.04,East,4,"Root Beer"
41.58,East,4,"Root Beer"
18.48,East,4,"Root Beer"
16.94,East,4,"Root Beer"
49.14,East,4,"Root Beer"
28.86,East,4,"Root Beer"
68,East,4,"Root Beer"
69,East,4,"Root Beer"
1.22,East,4,"Root Beer"
26.84,East,4,"Root Beer"
32.33,East,4,"Root Beer"
0.61,East,4,"Root Beer"
5.28,East,4,"Root Beer"
11.22,East,4,"Root Beer"
49.5,East,4,"Root Beer"
49.35,East,4,"Root Beer"
55.65,East,4,"Root Beer"
121,East,4,"Root Beer"
12.5,East,4,"Root Beer"
105,East,4,"Root Beer"
7.5,East,4,"Root Beer"
125,East,4,"Root Beer"
121,East,4,"Root Beer"
43.2,East,4,"Root Beer"
79.2,East,4,"Root Beer"
11.52,East,4,"Root Beer"
10.08,East,4,"Root Beer"
87.48,East,4,"Root Beer"
38.88,East,4,"Root Beer"
35.64,East,4,"Root Beer"
108.99,East,4,"Root Beer"
64.01,East,4,"Root Beer"
121,East,4,"Root Beer"
125,East,4,"Root Beer"
2.42,East,4,"Root Beer"
53.24,East,4,"Root Beer"
64.13,East,4,"Root Beer"
1.21,East,4,"Root Beer"
10.8,East,4,"Root Beer"
22.95,East,4,"Root Beer"
101.25,East,4,"Root Beer"
44.65,East,4,"Root Beer"
50.35,East,4,"Root Beer"
110,East,4,"Root Beer"
11.3,East,4,"Root Beer"
94.92,East,4,"Root Beer"
6.78,East,4,"Root Beer"
113,East,4,"Root Beer"
109,East,4,"Root Beer"
39.3,East,4,"Root Beer"
72.05,East,4,"Root Beer"
10.48,East,4,"Root Beer"
9.17,East,4,"Root Beer"
79.38,East,4,"Root Beer"
35.28,East,4,"Root Beer"
32.34,East,4,"Root Beer"
98.28,East,4,"Root Beer"
57.72,East,4,"Root Beer"
110,East,4,"Root Beer"
113,East,4,"Root Beer"
2.18,East,4,"Root Beer"
47.96,East,4,"Root Beer"
57.77,East,4,"Root Beer"
1.09,East,4,"Root Beer"
9.76,East,4,"Root Beer"
20.74,East,4,"Root Beer"
91.5,East,4,"Root Beer"
15.51,East,4,"Root Beer"
17.49,East,4,"Root Beer"
33,East,4,"Root Beer"
3.3,East,4,"Root Beer"
27.72,East,4,"Root Beer"
1.98,East,4,"Root Beer"
33,East,4,"Root Beer"
33,East,4,"Root Beer"
9.9,East,4,"Root Beer"
18.15,East,4,"Root Beer"
2.64,East,4,"Root Beer"
2.31,East,4,"Root Beer"
17.82,East,4,"Root Beer"
7.92,East,4,"Root Beer"
7.26,East,4,"Root Beer"
20.79,East,4,"Root Beer"
12.21,East,4,"Root Beer"
33,East,4,"Root Beer"
33,East,4,"Root Beer"
0.66,East,4,"Root Beer"
14.52,East,4,"Root Beer"
17.49,East,4,"Root Beer"
0.33,East,4,"Root Beer"
2.64,East,4,"Root Beer"
5.61,East,4,"Root Beer"
24.75,East,4,"Root Beer"
1,East,4,"Root Beer"
0.54,East,4,"Root Beer"
0.24,East,4,"Root Beer"
0.22,East,4,"Root Beer"
1,East,4,"Root Beer"
340.75,East,4,"Root Beer"
384.25,East,4,"Root Beer"
111.39,East,4,"Root Beer"
125.61,East,4,"Root Beer"
278,East,4,"Root Beer"
32.7,East,4,"Root Beer"
274.68,East,4,"Root Beer"
19.62,East,4,"Root Beer"
357,East,4,"Root Beer"
375,East,4,"Root Beer"
124.2,East,4,"Root Beer"
227.7,East,4,"Root Beer"
33.12,East,4,"Root Beer"
28.98,East,4,"Root Beer"
200.34,East,4,"Root Beer"
89.04,East,4,"Root Beer"
81.62,East,4,"Root Beer"
248.85,East,4,"Root Beer"
146.15,East,4,"Root Beer"
278,East,4,"Root Beer"
312,East,4,"Root Beer"
6.34,East,4,"Root Beer"
139.48,East,4,"Root Beer"
168.01,East,4,"Root Beer"
3.17,East,4,"Root Beer"
24.72,East,4,"Root Beer"
52.53,East,4,"Root Beer"
231.75,East,4,"Root Beer"
9.5,East,4,"Root Beer"
35,East,4,"Root Beer"
5.5,East,4,"Root Beer"
7,East,4,"Root Beer"
18.5,East,4,"Root Beer"
18.5,East,4,"Root Beer"
6,East,4,"Root Beer"
7.2,East,4,"Root Beer"
29.4,East,4,"Root Beer"
23.4,East,4,"Root Beer"
60,East,4,"Root Beer"
60,East,4,"Root Beer"
32.9,East,4,"Root Beer"
37.1,East,4,"Root Beer"
70,East,4,"Root Beer"
70,East,4,"Root Beer"
52.2,East,4,"Root Beer"
7.8,East,4,"Root Beer"
21,East,4,"Root Beer"
26,East,4,"Root Beer"
3,East,4,"Root Beer"
10.5,East,4,"Root Beer"
35,East,4,"Root Beer"
4.5,East,4,"Root Beer"
5.4,East,4,"Root Beer"
15.6,East,4,"Root Beer"
36.6,East,4,"Root Beer"
2.4,East,4,"Root Beer"
19,East,4,"Root Beer"
70,East,4,"Root Beer"
11,East,4,"Root Beer"
15.4,East,4,"Root Beer"
40.7,East,4,"Root Beer"
40.7,East,4,"Root Beer"
13.2,East,4,"Root Beer"
14.4,East,4,"Root Beer"
58.8,East,4,"Root Beer"
46.8,East,4,"Root Beer"
120,East,4,"Root Beer"
110,East,4,"Root Beer"
61.1,East,4,"Root Beer"
68.9,East,4,"Root Beer"
150,East,4,"Root Beer"
160,East,4,"Root Beer"
95.7,East,4,"Root Beer"
14.3,East,4,"Root Beer"
57.2,East,4,"Root Beer"
46.2,East,4,"Root Beer"
6.6,East,4,"Root Beer"
23.1,East,4,"Root Beer"
77,East,4,"Root Beer"
9.9,East,4,"Root Beer"
11.7,East,4,"Root Beer"
33.8,East,4,"Root Beer"
79.3,East,4,"Root Beer"
5.2,East,4,"Root Beer"
17.1,East,4,"Root Beer"
63,East,4,"Root Beer"
9.9,East,4,"Root Beer"
14,East,4,"Root Beer"
37,East,4,"Root Beer"
37,East,4,"Root Beer"
12,East,4,"Root Beer"
12,East,4,"Root Beer"
49,East,4,"Root Beer"
39,East,4,"Root Beer"
100,East,4,"Root Beer"
100,East,4,"Root Beer"
56.4,East,4,"Root Beer"
63.6,East,4,"Root Beer"
130,East,4,"Root Beer"
140,East,4,"Root Beer"
87,East,4,"Root Beer"
13,East,4,"Root Beer"
37.8,East,4,"Root Beer"
46.8,East,4,"Root Beer"
5.4,East,4,"Root Beer"
21,East,4,"Root Beer"
70,East,4,"Root Beer"
9,East,4,"Root Beer"
9.9,East,4,"Root Beer"
28.6,East,4,"Root Beer"
67.1,East,4,"Root Beer"
4.4,East,4,"Root Beer"
5.7,East,4,"Root Beer"
21,East,4,"Root Beer"
3.3,East,4,"Root Beer"
4.2,East,4,"Root Beer"
11.1,East,4,"Root Beer"
11.1,East,4,"Root Beer"
3.6,East,4,"Root Beer"
3.6,East,4,"Root Beer"
14.7,East,4,"Root Beer"
11.7,East,4,"Root Beer"
30,East,4,"Root Beer"
30,East,4,"Root Beer"
14.1,East,4,"Root Beer"
15.9,East,4,"Root Beer"
30,East,4,"Root Beer"
30,East,4,"Root Beer"
26.1,East,4,"Root Beer"
3.9,East,4,"Root Beer"
8.4,East,4,"Root Beer"
10.4,East,4,"Root Beer"
1.2,East,4,"Root Beer"
6.3,East,4,"Root Beer"
21,East,4,"Root Beer"
2.7,East,4,"Root Beer"
2.7,East,4,"Root Beer"
7.8,East,4,"Root Beer"
18.3,East,4,"Root Beer"
1.2,East,4,"Root Beer"
129.2,East,4,"Root Beer"
476,East,4,"Root Beer"
74.8,East,4,"Root Beer"
41.8,East,4,"Root Beer"
154,East,4,"Root Beer"
24.2,East,4,"Root Beer"
36.4,East,4,"Root Beer"
96.2,East,4,"Root Beer"
96.2,East,4,"Root Beer"
31.2,East,4,"Root Beer"
37.2,East,4,"Root Beer"
151.9,East,4,"Root Beer"
120.9,East,4,"Root Beer"
330,East,4,"Root Beer"
350,East,4,"Root Beer"
183.3,East,4,"Root Beer"
206.7,East,4,"Root Beer"
350,East,4,"Root Beer"
370,East,4,"Root Beer"
226.2,East,4,"Root Beer"
33.8,East,4,"Root Beer"
117.6,East,4,"Root Beer"
145.6,East,4,"Root Beer"
16.8,East,4,"Root Beer"
65.1,East,4,"Root Beer"
217,East,4,"Root Beer"
27.9,East,4,"Root Beer"
27,East,4,"Root Beer"
78,East,4,"Root Beer"
183,East,4,"Root Beer"
12,East,4,"Root Beer"
490,East,7,"Root Beer"
359.6,East,7,"Root Beer"
220.4,East,7,"Root Beer"
523,East,7,"Root Beer"
564,East,7,"Root Beer"
483.27,East,7,"Root Beer"
54.3,East,7,"Root Beer"
5.43,East,7,"Root Beer"
148.5,East,7,"Root Beer"
526.5,East,7,"Root Beer"
70.98,East,7,"Root Beer"
376.74,East,7,"Root Beer"
98.28,East,7,"Root Beer"
543,East,7,"Root Beer"
277.83,East,7,"Root Beer"
283.5,East,7,"Root Beer"
5.67,East,7,"Root Beer"
765,East,7,"Root Beer"
256.5,East,7,"Root Beer"
384.75,East,7,"Root Beer"
33.75,East,7,"Root Beer"
657,East,7,"Root Beer"
228,East,7,"Root Beer"
141.36,East,7,"Root Beer"
86.64,East,7,"Root Beer"
239,East,7,"Root Beer"
239,East,7,"Root Beer"
231.4,East,7,"Root Beer"
26,East,7,"Root Beer"
2.6,East,7,"Root Beer"
57.2,East,7,"Root Beer"
202.8,East,7,"Root Beer"
34.58,East,7,"Root Beer"
183.54,East,7,"Root Beer"
47.88,East,7,"Root Beer"
266,East,7,"Root Beer"
122.01,East,7,"Root Beer"
124.5,East,7,"Root Beer"
2.49,East,7,"Root Beer"
239,East,7,"Root Beer"
80.18,East,7,"Root Beer"
120.27,East,7,"Root Beer"
10.55,East,7,"Root Beer"
250,East,7,"Root Beer"
63,East,7,"Root Beer"
39.06,East,7,"Root Beer"
23.94,East,7,"Root Beer"
66,East,7,"Root Beer"
66,East,7,"Root Beer"
64.08,East,7,"Root Beer"
7.2,East,7,"Root Beer"
0.72,East,7,"Root Beer"
15.84,East,7,"Root Beer"
56.16,East,7,"Root Beer"
9.62,East,7,"Root Beer"
51.06,East,7,"Root Beer"
13.32,East,7,"Root Beer"
74,East,7,"Root Beer"
33.81,East,7,"Root Beer"
34.5,East,7,"Root Beer"
0.69,East,7,"Root Beer"
66,East,7,"Root Beer"
22.42,East,7,"Root Beer"
33.63,East,7,"Root Beer"
2.95,East,7,"Root Beer"
70,East,7,"Root Beer"
24,East,7,"Root Beer"
14.88,East,7,"Root Beer"
9.12,East,7,"Root Beer"
24,East,7,"Root Beer"
24,East,7,"Root Beer"
21.36,East,7,"Root Beer"
2.4,East,7,"Root Beer"
0.24,East,7,"Root Beer"
5.28,East,7,"Root Beer"
18.72,East,7,"Root Beer"
3.12,East,7,"Root Beer"
16.56,East,7,"Root Beer"
4.32,East,7,"Root Beer"
24,East,7,"Root Beer"
11.76,East,7,"Root Beer"
12,East,7,"Root Beer"
0.24,East,7,"Root Beer"
24,East,7,"Root Beer"
9.12,East,7,"Root Beer"
13.68,East,7,"Root Beer"
1.2,East,7,"Root Beer"
24,East,7,"Root Beer"
0.62,East,7,"Root Beer"
0.38,East,7,"Root Beer"
0.22,East,7,"Root Beer"
0.78,East,7,"Root Beer"
0.49,East,7,"Root Beer"
0.5,East,7,"Root Beer"
0.01,East,7,"Root Beer"
1,East,7,"Root Beer"
1,East,7,"Root Beer"
1459,East,7,"Root Beer"
433,East,7,"Root Beer"
271.56,East,7,"Root Beer"
166.44,East,7,"Root Beer"
525,East,7,"Root Beer"
573,East,7,"Root Beer"
602.53,East,7,"Root Beer"
67.7,East,7,"Root Beer"
6.77,East,7,"Root Beer"
137.5,East,7,"Root Beer"
487.5,East,7,"Root Beer"
66.3,East,7,"Root Beer"
351.9,East,7,"Root Beer"
91.8,East,7,"Root Beer"
510,East,7,"Root Beer"
234.22,East,7,"Root Beer"
239,East,7,"Root Beer"
4.78,East,7,"Root Beer"
501,East,7,"Root Beer"
176.7,East,7,"Root Beer"
265.05,East,7,"Root Beer"
23.25,East,7,"Root Beer"
480,East,7,"Root Beer"
480,East,7,"Root Beer"
44.8,East,7,"Root Beer"
515.2,East,7,"Root Beer"
510,East,7,"Root Beer"
335.5,East,7,"Root Beer"
214.5,East,7,"Root Beer"
26.5,East,7,"Root Beer"
365.7,East,7,"Root Beer"
95.4,East,7,"Root Beer"
42.4,East,7,"Root Beer"
660,East,7,"Root Beer"
413.4,East,7,"Root Beer"
106,East,7,"Root Beer"
10.6,East,7,"Root Beer"
455.8,East,7,"Root Beer"
74.2,East,7,"Root Beer"
132,East,7,"Root Beer"
418,East,7,"Root Beer"
129.6,East,7,"Root Beer"
72,East,7,"Root Beer"
316.8,East,7,"Root Beer"
201.6,East,7,"Root Beer"
607.2,East,7,"Root Beer"
52.8,East,7,"Root Beer"
640,East,7,"Root Beer"
210,East,7,"Root Beer"
16.8,East,7,"Root Beer"
193.2,East,7,"Root Beer"
220,East,7,"Root Beer"
134.2,East,7,"Root Beer"
85.8,East,7,"Root Beer"
12,East,7,"Root Beer"
165.6,East,7,"Root Beer"
43.2,East,7,"Root Beer"
19.2,East,7,"Root Beer"
240,East,7,"Root Beer"
195,East,7,"Root Beer"
50,East,7,"Root Beer"
5,East,7,"Root Beer"
215,East,7,"Root Beer"
35,East,7,"Root Beer"
55.2,East,7,"Root Beer"
174.8,East,7,"Root Beer"
37.8,East,7,"Root Beer"
21,East,7,"Root Beer"
92.4,East,7,"Root Beer"
58.8,East,7,"Root Beer"
184,East,7,"Root Beer"
16,East,7,"Root Beer"
240,East,7,"Root Beer"
50,East,7,"Root Beer"
4,East,7,"Root Beer"
46,East,7,"Root Beer"
60,East,7,"Root Beer"
36.6,East,7,"Root Beer"
23.4,East,7,"Root Beer"
3,East,7,"Root Beer"
41.4,East,7,"Root Beer"
10.8,East,7,"Root Beer"
4.8,East,7,"Root Beer"
60,East,7,"Root Beer"
54.6,East,7,"Root Beer"
14,East,7,"Root Beer"
1.4,East,7,"Root Beer"
60.2,East,7,"Root Beer"
9.8,East,7,"Root Beer"
14.4,East,7,"Root Beer"
45.6,East,7,"Root Beer"
9,East,7,"Root Beer"
5,East,7,"Root Beer"
22,East,7,"Root Beer"
14,East,7,"Root Beer"
46,East,7,"Root Beer"
4,East,7,"Root Beer"
60,East,7,"Root Beer"
20,East,7,"Root Beer"
1.6,East,7,"Root Beer"
18.4,East,7,"Root Beer"
20,East,7,"Root Beer"
12.2,East,7,"Root Beer"
7.8,East,7,"Root Beer"
1,East,7,"Root Beer"
13.8,East,7,"Root Beer"
3.6,East,7,"Root Beer"
1.6,East,7,"Root Beer"
20,East,7,"Root Beer"
15.6,East,7,"Root Beer"
4,East,7,"Root Beer"
0.4,East,7,"Root Beer"
17.2,East,7,"Root Beer"
2.8,East,7,"Root Beer"
4.8,East,7,"Root Beer"
15.2,East,7,"Root Beer"
1.8,East,7,"Root Beer"
1,East,7,"Root Beer"
4.4,East,7,"Root Beer"
2.8,East,7,"Root Beer"
18.4,East,7,"Root Beer"
1.6,East,7,"Root Beer"
20,East,7,"Root Beer"
1380,East,7,"Root Beer"
410,East,7,"Root Beer"
32.8,East,7,"Root Beer"
377.2,East,7,"Root Beer"
490,East,7,"Root Beer"
329.4,East,7,"Root Beer"
210.6,East,7,"Root Beer"
32,East,7,"Root Beer"
441.6,East,7,"Root Beer"
115.2,East,7,"Root Beer"
51.2,East,7,"Root Beer"
590,East,7,"Root Beer"
374.4,East,7,"Root Beer"
96,East,7,"Root Beer"
9.6,East,7,"Root Beer"
412.8,East,7,"Root Beer"
67.2,East,7,"Root Beer"
108,East,7,"Root Beer"
342,East,7,"Root Beer"
82.8,East,7,"Root Beer"
46,East,7,"Root Beer"
202.4,East,7,"Root Beer"
128.8,East,7,"Root Beer"
414,East,7,"Root Beer"
36,East,7,"Root Beer"
470,East,7,"Root Beer"
483,East,8,"Cream Soda"
495,East,8,"Cream Soda"
513,East,8,"Cream Soda"
638,East,8,"Cream Soda"
377.58,East,8,"Cream Soda"
26.04,East,8,"Cream Soda"
169.26,East,8,"Cream Soda"
78.12,East,8,"Cream Soda"
80.28,East,8,"Cream Soda"
568.65,East,8,"Cream Soda"
20.07,East,8,"Cream Soda"
459.94,East,8,"Cream Soda"
333.06,East,8,"Cream Soda"
13.06,East,8,"Cream Soda"
13.06,East,8,"Cream Soda"
620.35,East,8,"Cream Soda"
6.53,East,8,"Cream Soda"
541,East,8,"Cream Soda"
297.54,East,8,"Cream Soda"
179.55,East,8,"Cream Soda"
35.91,East,8,"Cream Soda"
28.8,East,8,"Cream Soda"
547.2,East,8,"Cream Soda"
231.57,East,8,"Cream Soda"
515.43,East,8,"Cream Soda"
245,East,8,"Cream Soda"
240,East,8,"Cream Soda"
245,East,8,"Cream Soda"
260,East,8,"Cream Soda"
153.7,East,8,"Cream Soda"
10.6,East,8,"Cream Soda"
68.9,East,8,"Cream Soda"
31.8,East,8,"Cream Soda"
32.52,East,8,"Cream Soda"
230.35,East,8,"Cream Soda"
8.13,East,8,"Cream Soda"
156.6,East,8,"Cream Soda"
113.4,East,8,"Cream Soda"
5.68,East,8,"Cream Soda"
5.68,East,8,"Cream Soda"
269.8,East,8,"Cream Soda"
2.84,East,8,"Cream Soda"
302,East,8,"Cream Soda"
147.9,East,8,"Cream Soda"
89.25,East,8,"Cream Soda"
17.85,East,8,"Cream Soda"
12.25,East,8,"Cream Soda"
232.75,East,8,"Cream Soda"
91.14,East,8,"Cream Soda"
202.86,East,8,"Cream Soda"
93,East,8,"Cream Soda"
91,East,8,"Cream Soda"
93,East,8,"Cream Soda"
98,East,8,"Cream Soda"
58,East,8,"Cream Soda"
4,East,8,"Cream Soda"
26,East,8,"Cream Soda"
12,East,8,"Cream Soda"
12.24,East,8,"Cream Soda"
86.7,East,8,"Cream Soda"
3.06,East,8,"Cream Soda"
59.16,East,8,"Cream Soda"
42.84,East,8,"Cream Soda"
2.14,East,8,"Cream Soda"
2.14,East,8,"Cream Soda"
101.65,East,8,"Cream Soda"
1.07,East,8,"Cream Soda"
114,East,8,"Cream Soda"
55.68,East,8,"Cream Soda"
33.6,East,8,"Cream Soda"
6.72,East,8,"Cream Soda"
4.65,East,8,"Cream Soda"
88.35,East,8,"Cream Soda"
34.41,East,8,"Cream Soda"
76.59,East,8,"Cream Soda"
33,East,8,"Cream Soda"
33,East,8,"Cream Soda"
33,East,8,"Cream Soda"
33,East,8,"Cream Soda"
19.14,East,8,"Cream Soda"
1.32,East,8,"Cream Soda"
8.58,East,8,"Cream Soda"
3.96,East,8,"Cream Soda"
3.96,East,8,"Cream Soda"
28.05,East,8,"Cream Soda"
0.99,East,8,"Cream Soda"
19.14,East,8,"Cream Soda"
13.86,East,8,"Cream Soda"
0.66,East,8,"Cream Soda"
0.66,East,8,"Cream Soda"
31.35,East,8,"Cream Soda"
0.33,East,8,"Cream Soda"
33,East,8,"Cream Soda"
19.14,East,8,"Cream Soda"
11.55,East,8,"Cream Soda"
2.31,East,8,"Cream Soda"
1.65,East,8,"Cream Soda"
31.35,East,8,"Cream Soda"
10.23,East,8,"Cream Soda"
22.77,East,8,"Cream Soda"
1,East,8,"Cream Soda"
1,East,8,"Cream Soda"
0.58,East,8,"Cream Soda"
0.04,East,8,"Cream Soda"
0.26,East,8,"Cream Soda"
0.12,East,8,"Cream Soda"
0.05,East,8,"Cream Soda"
0.95,East,8,"Cream Soda"
1419,East,8,"Cream Soda"
518,East,8,"Cream Soda"
512,East,8,"Cream Soda"
600,East,8,"Cream Soda"
693,East,8,"Cream Soda"
443.7,East,8,"Cream Soda"
30.6,East,8,"Cream Soda"
198.9,East,8,"Cream Soda"
91.8,East,8,"Cream Soda"
86.76,East,8,"Cream Soda"
614.55,East,8,"Cream Soda"
21.69,East,8,"Cream Soda"
334.66,East,8,"Cream Soda"
242.34,East,8,"Cream Soda"
12.12,East,8,"Cream Soda"
12.12,East,8,"Cream Soda"
575.7,East,8,"Cream Soda"
6.06,East,8,"Cream Soda"
645,East,8,"Cream Soda"
345.1,East,8,"Cream Soda"
208.25,East,8,"Cream Soda"
41.65,East,8,"Cream Soda"
29.95,East,8,"Cream Soda"
569.05,East,8,"Cream Soda"
194.37,East,8,"Cream Soda"
432.63,East,8,"Cream Soda"
