scenarioid,marketing,sales,cogs,TRANSDATE,region
1,9.62,70.98,34.58,"2000-07-04 00:00:00",East
2,14,106,50,"2000-07-12 00:00:00",East
1,13.32,98.28,47.88,"2000-07-26 00:00:00",East
1,51.06,376.74,183.54,"2000-07-16 00:00:00",East
2,54.6,413.4,195,"2000-07-07 00:00:00",East
1,15.84,148.5,57.2,"2000-06-05 00:00:00",East
1,56.16,526.5,202.8,"2000-06-13 00:00:00",East
2,60,660,240,"2000-06-01 00:00:00",East
2,60,510,220,"2000-03-25 00:00:00",East
1,66,523,239,"2000-03-25 00:00:00",East
1,0.72,5.43,2.6,"2000-05-23 00:00:00",East
2,3,26.5,12,"2000-05-04 00:00:00",East
2,4.8,42.4,19.2,"2000-05-25 00:00:00",East
1,7.2,54.3,26,"2000-05-04 00:00:00",East
2,10.8,95.4,43.2,"2000-05-18 00:00:00",East
2,41.4,365.7,165.6,"2000-05-12 00:00:00",East
1,64.08,483.27,231.4,"2000-05-01 00:00:00",East
1,2.95,33.75,10.55,"2000-11-10 00:00:00",East
2,4,52.8,16,"2000-11-28 00:00:00",East
1,22.42,256.5,80.18,"2000-11-03 00:00:00",East
1,33.63,384.75,120.27,"2000-11-04 00:00:00",East
2,46,607.2,184,"2000-11-24 00:00:00",East
2,5,72,21,"2000-10-27 00:00:00",East
2,9,129.6,37.8,"2000-10-01 00:00:00",East
2,14,201.6,58.8,"2000-10-28 00:00:00",East
2,22,316.8,92.4,"2000-10-27 00:00:00",East
1,66,765,239,"2000-10-25 00:00:00",East
1,0.69,5.67,2.49,"2000-09-19 00:00:00",East
2,14.4,132,55.2,"2000-09-10 00:00:00",East
1,33.81,277.83,122.01,"2000-09-16 00:00:00",East
1,34.5,283.5,124.5,"2000-09-17 00:00:00",East
2,45.6,418,174.8,"2000-09-27 00:00:00",East
2,6.4,39.2,15.2,"2000-04-27 00:00:00",East
2,7.2,44.1,17.1,"2000-04-17 00:00:00",East
2,10.4,63.7,24.7,"2000-04-03 00:00:00",East
2,56,343,133,"2000-04-01 00:00:00",East
1,98,638,260,"2000-04-15 00:00:00",East
1,1.07,6.53,2.84,"2000-08-28 00:00:00",East
1,2.14,13.06,5.68,"2000-08-12 00:00:00",East
1,2.14,13.06,5.68,"2000-08-22 00:00:00",East
2,2.7,15,6.3,"2000-08-06 00:00:00",East
2,12.6,70,29.4,"2000-08-14 00:00:00",East
2,13.5,75,31.5,"2000-08-26 00:00:00",East
2,61.2,340,142.8,"2000-08-22 00:00:00",East
1,101.65,620.35,269.8,"2000-08-24 00:00:00",East
2,13.5,81,33,"2000-12-17 00:00:00",East
2,22.5,135,55,"2000-12-08 00:00:00",East
1,34.41,231.57,91.14,"2000-12-06 00:00:00",East
1,76.59,515.43,202.86,"2000-12-09 00:00:00",East
2,54,324,132,"2000-12-11 00:00:00",East
2,28.7,155.8,73.8,"2000-02-12 00:00:00",East
2,41.3,224.2,106.2,"2000-02-18 00:00:00",East
1,91,495,240,"2000-02-19 00:00:00",East
2,15.4,81.4,39.6,"2000-01-16 00:00:00",East
2,54.6,288.6,140.4,"2000-01-25 00:00:00",East
1,93,483,245,"2000-01-08 00:00:00",East
1,42.84,333.06,113.4,"2000-07-18 00:00:00",East
1,59.16,459.94,156.6,"2000-07-13 00:00:00",East
2,80,610,200,"2000-07-09 00:00:00",East
1,3.06,20.07,8.13,"2000-06-25 00:00:00",East
2,4,26,10,"2000-06-26 00:00:00",East
1,12.24,80.28,32.52,"2000-06-08 00:00:00",East
2,13.6,88.4,34,"2000-06-05 00:00:00",East
2,62.4,405.6,156,"2000-06-02 00:00:00",East
1,86.7,568.65,230.35,"2000-06-10 00:00:00",East
2,70,400,180,"2000-03-21 00:00:00",East
1,93,513,245,"2000-03-27 00:00:00",East
1,4,26.04,10.6,"2000-05-13 00:00:00",East
1,12,78.12,31.8,"2000-05-21 00:00:00",East
1,26,169.26,68.9,"2000-05-13 00:00:00",East
1,58,377.58,153.7,"2000-05-10 00:00:00",East
2,80,500,200,"2000-05-27 00:00:00",East
1,4.65,28.8,12.25,"2000-11-10 00:00:00",East
2,14.4,75.6,32.4,"2000-11-01 00:00:00",East
2,65.6,344.4,147.6,"2000-11-18 00:00:00",East
1,88.35,547.2,232.75,"2000-11-14 00:00:00",East
2,0.7,2.9,1.4,"2000-10-25 00:00:00",East
2,1.4,5.8,2.8,"2000-10-19 00:00:00",East
1,6.72,35.91,17.85,"2000-10-23 00:00:00",East
1,33.6,179.55,89.25,"2000-10-21 00:00:00",East
1,55.68,297.54,147.9,"2000-10-04 00:00:00",East
2,67.9,281.3,135.8,"2000-10-03 00:00:00",East
1,114,541,302,"2000-09-23 00:00:00",East
2,90,420,220,"2000-09-28 00:00:00",East
2,1,2.8,3,"2000-04-12 00:00:00",East
2,6,16.8,18,"2000-04-04 00:00:00",East
2,43,120.4,129,"2000-04-18 00:00:00",East
1,64,189,209,"2000-04-12 00:00:00",East
2,0.8,0.9,2.3,"2000-08-08 00:00:00",East
2,0.8,0.9,2.3,"2000-08-16 00:00:00",East
2,16,18,46,"2000-08-26 00:00:00",East
2,62.4,70.2,179.4,"2000-08-28 00:00:00",East
1,96,124,311,"2000-08-07 00:00:00",East
1,2.96,5.92,9.64,"2000-12-26 00:00:00",East
1,2.96,5.92,9.64,"2000-12-06 00:00:00",East
1,18.5,37,60.25,"2000-12-28 00:00:00",East
2,24.6,41,73.8,"2000-12-27 00:00:00",East
2,35.4,59,106.2,"2000-12-28 00:00:00",East
1,49.58,99.16,161.47,"2000-12-11 00:00:00",East
1,13.2,36,42.6,"2000-02-10 00:00:00",East
2,12.5,35,40,"2000-02-09 00:00:00",East
2,37.5,105,120,"2000-02-08 00:00:00",East
1,52.8,144,170.4,"2000-02-08 00:00:00",East
2,3,8.4,9,"2000-01-27 00:00:00",East
2,8.5,23.8,25.5,"2000-01-26 00:00:00",East
1,13.44,37.8,43.47,"2000-01-14 00:00:00",East
1,17.92,50.4,57.96,"2000-01-06 00:00:00",East
1,32.64,91.8,105.57,"2000-01-07 00:00:00",East
2,38.5,107.8,115.5,"2000-01-13 00:00:00",East
1,11.2,27.72,36.4,"2000-07-17 00:00:00",East
1,16,39.6,52,"2000-07-13 00:00:00",East
1,22.4,55.44,72.8,"2000-07-17 00:00:00",East
1,30.4,75.24,98.8,"2000-07-03 00:00:00",East
2,60,150,190,"2000-07-22 00:00:00",East
2,1.8,4.5,5.4,"2000-06-07 00:00:00",East
2,58.2,145.5,174.6,"2000-06-24 00:00:00",East
1,75,198,244,"2000-06-20 00:00:00",East
2,1.5,4.2,4.8,"2000-03-01 00:00:00",East
2,3,8.4,9.6,"2000-03-21 00:00:00",East
2,4.5,12.6,14.4,"2000-03-21 00:00:00",East
2,41,114.8,131.2,"2000-03-03 00:00:00",East
1,66,182,214,"2000-03-11 00:00:00",East
2,1.2,3,3.4,"2000-05-26 00:00:00",East
2,1.8,4.5,5.1,"2000-05-15 00:00:00",East
2,20.4,51,57.8,"2000-05-13 00:00:00",East
2,36.6,91.5,103.7,"2000-05-08 00:00:00",East
1,72,198,235,"2000-05-11 00:00:00",East
1,8.28,19.2,27,"2000-11-27 00:00:00",East
2,22.2,40.7,59.2,"2000-11-14 00:00:00",East
2,37.8,69.3,100.8,"2000-11-28 00:00:00",East
1,60.72,140.8,198,"2000-11-14 00:00:00",East
1,5.92,13.12,19.12,"2000-10-02 00:00:00",East
1,6.66,14.76,21.51,"2000-10-22 00:00:00",East
2,22,35.2,57.2,"2000-10-04 00:00:00",East
2,28,44.8,72.8,"2000-10-20 00:00:00",East
1,61.42,136.12,198.37,"2000-10-25 00:00:00",East
2,7.2,9.6,22.8,"2000-09-25 00:00:00",East
2,13.8,18.4,43.7,"2000-09-25 00:00:00",East
2,39,52,123.5,"2000-09-05 00:00:00",East
1,77,112,251,"2000-09-04 00:00:00",East
1,1.96,17.15,7,"2000-04-16 00:00:00",East
1,8.4,73.5,30,"2000-04-15 00:00:00",East
1,17.64,154.35,63,"2000-04-14 00:00:00",East
2,20,260,100,"2000-04-05 00:00:00",East
2,0.3,3.4,1.3,"2000-08-27 00:00:00",East
2,0.3,3.4,1.3,"2000-08-21 00:00:00",East
2,0.9,10.2,3.9,"2000-08-24 00:00:00",East
1,14.76,132.43,54.12,"2000-08-11 00:00:00",East
1,21.24,190.57,77.88,"2000-08-01 00:00:00",East
2,28.5,323,123.5,"2000-08-28 00:00:00",East
2,9.4,98.7,42.3,"2000-12-12 00:00:00",East
2,10.6,111.3,47.7,"2000-12-14 00:00:00",East
1,24,210,86,"2000-12-11 00:00:00",East
1,4.42,39.44,16.15,"2000-02-14 00:00:00",East
2,5,62.5,25,"2000-02-22 00:00:00",East
2,7,87.5,35,"2000-02-15 00:00:00",East
2,8,100,40,"2000-02-04 00:00:00",East
1,21.58,192.56,78.85,"2000-02-21 00:00:00",East
1,1.04,9.36,3.8,"2000-01-13 00:00:00",East
1,24.96,224.64,91.2,"2000-01-03 00:00:00",East
2,20,250,100,"2000-01-15 00:00:00",East
1,5.25,46.8,19.05,"2000-07-26 00:00:00",East
1,7.35,65.52,26.67,"2000-07-05 00:00:00",East
1,9.45,84.24,34.29,"2000-07-20 00:00:00",East
1,12.95,115.44,46.99,"2000-07-02 00:00:00",East
2,30,330,130,"2000-07-15 00:00:00",East
1,1.36,12.04,4.92,"2000-06-25 00:00:00",East
1,6.12,54.18,22.14,"2000-06-22 00:00:00",East
1,26.52,234.78,95.94,"2000-06-26 00:00:00",East
2,30,320,130,"2000-06-27 00:00:00",East
2,2.2,27.5,11,"2000-03-13 00:00:00",East
2,4.4,55,22,"2000-03-02 00:00:00",East
1,6.76,60.84,24.7,"2000-03-03 00:00:00",East
2,5.6,70,28,"2000-03-15 00:00:00",East
2,7.8,97.5,39,"2000-03-03 00:00:00",East
1,19.24,173.16,70.3,"2000-03-07 00:00:00",East
2,30,270,110,"2000-05-02 00:00:00",East
1,29,256,104,"2000-05-09 00:00:00",East
2,1.4,14,5.6,"2000-11-24 00:00:00",East
2,2,20,8,"2000-11-19 00:00:00",East
2,2,20,8,"2000-11-24 00:00:00",East
1,2.64,23.76,9.72,"2000-11-18 00:00:00",East
2,14.6,146,58.4,"2000-11-04 00:00:00",East
1,19.36,174.24,71.28,"2000-11-19 00:00:00",East
1,1.8,15.9,6.48,"2000-10-05 00:00:00",East
1,12.6,111.3,45.36,"2000-10-15 00:00:00",East
1,15.6,137.8,56.16,"2000-10-11 00:00:00",East
2,30,280,110,"2000-10-06 00:00:00",East
2,2.4,31.2,12,"2000-09-02 00:00:00",East
2,7.2,93.6,36,"2000-09-25 00:00:00",East
2,10.4,135.2,52,"2000-09-09 00:00:00",East
1,28,245,100,"2000-09-11 00:00:00",East
1,0.5,4.46,1.82,"2000-04-20 00:00:00",East
1,2,17.84,7.28,"2000-04-07 00:00:00",East
1,8.75,78.05,31.85,"2000-04-11 00:00:00",East
1,13.75,122.65,50.05,"2000-04-13 00:00:00",East
2,20,240,90,"2000-04-07 00:00:00",East
2,30,320,130,"2000-08-17 00:00:00",East
1,34,301,123,"2000-08-09 00:00:00",East
2,0.3,3.1,1.2,"2000-12-12 00:00:00",East
2,0.3,3.1,1.2,"2000-12-20 00:00:00",East
2,1.5,15.5,6,"2000-12-09 00:00:00",East
2,27.9,288.3,111.6,"2000-12-10 00:00:00",East
1,34,302,123,"2000-12-01 00:00:00",East
2,0.2,2.6,1,"2000-02-27 00:00:00",East
1,0.81,7.29,2.97,"2000-02-15 00:00:00",East
2,2,26,10,"2000-02-11 00:00:00",East
1,4.86,43.74,17.82,"2000-02-15 00:00:00",East
1,5.4,48.6,19.8,"2000-02-02 00:00:00",East
2,4.4,57.2,22,"2000-02-10 00:00:00",East
1,15.93,143.37,58.41,"2000-02-17 00:00:00",East
2,13.4,174.2,67,"2000-02-10 00:00:00",East
2,20,230,90,"2000-01-12 00:00:00",East
1,24,219,89,"2000-01-09 00:00:00",East
2,30,270,110,"2000-07-11 00:00:00",East
1,29,256,104,"2000-07-09 00:00:00",East
1,0.31,2.76,1.13,"2000-06-14 00:00:00",East
1,0.31,2.76,1.13,"2000-06-03 00:00:00",East
2,1.2,11.6,4.4,"2000-06-23 00:00:00",East
1,2.17,19.32,7.91,"2000-06-03 00:00:00",East
2,4.5,43.5,16.5,"2000-06-01 00:00:00",East
2,9,87,33,"2000-06-21 00:00:00",East
2,15.3,147.9,56.1,"2000-06-24 00:00:00",East
1,28.21,251.16,102.83,"2000-06-12 00:00:00",East
1,1.44,12.78,5.22,"2000-03-01 00:00:00",East
1,1.44,12.78,5.22,"2000-03-21 00:00:00",East
2,4.4,50.6,19.8,"2000-03-04 00:00:00",East
2,6,69,27,"2000-03-25 00:00:00",East
2,9.6,110.4,43.2,"2000-03-01 00:00:00",East
1,21.12,187.44,76.56,"2000-03-25 00:00:00",East
2,12.3,110.7,45.1,"2000-05-07 00:00:00",East
2,17.7,159.3,64.9,"2000-05-17 00:00:00",East
1,29,256,104,"2000-05-16 00:00:00",East
2,30,290,120,"2000-11-17 00:00:00",East
1,33,290,118,"2000-11-23 00:00:00",East
2,3.9,41.6,16.9,"2000-10-17 00:00:00",East
1,3.74,33.22,13.53,"2000-10-17 00:00:00",East
1,4.42,39.26,15.99,"2000-10-02 00:00:00",East
2,6.3,67.2,27.3,"2000-10-20 00:00:00",East
2,6.6,70.4,28.6,"2000-10-11 00:00:00",East
1,9.52,84.56,34.44,"2000-10-21 00:00:00",East
2,13.2,140.8,57.2,"2000-10-16 00:00:00",East
1,16.32,144.96,59.04,"2000-10-15 00:00:00",East
2,12.3,131.2,53.3,"2000-09-08 00:00:00",East
2,17.7,188.8,76.7,"2000-09-25 00:00:00",East
1,34,302,123,"2000-09-14 00:00:00",East
2,0.4,4.2,1.6,"2000-04-06 00:00:00",East
1,0.44,3.96,1.62,"2000-04-16 00:00:00",East
2,5.2,54.6,20.8,"2000-04-28 00:00:00",East
1,5.94,53.46,21.87,"2000-04-26 00:00:00",East
2,14.4,151.2,57.6,"2000-04-08 00:00:00",East
1,15.62,140.58,57.51,"2000-04-18 00:00:00",East
2,0.8,10.4,4,"2000-08-23 00:00:00",East
1,4.2,36.75,15,"2000-08-13 00:00:00",East
2,19.2,249.6,96,"2000-08-26 00:00:00",East
1,23.8,208.25,85,"2000-08-28 00:00:00",East
2,10,130,50,"2000-12-05 00:00:00",East
1,15,133,54,"2000-12-23 00:00:00",East
2,2.8,28,11.2,"2000-02-24 00:00:00",East
2,17.2,172,68.8,"2000-02-15 00:00:00",East
1,21,189,77,"2000-02-08 00:00:00",East
1,5.25,46.9,18.9,"2000-01-24 00:00:00",East
1,9.75,87.1,35.1,"2000-01-18 00:00:00",East
2,10,140,50,"2000-01-28 00:00:00",East
2,1,12,4.5,"2000-07-11 00:00:00",East
2,3.4,40.8,15.3,"2000-07-14 00:00:00",East
2,15.6,187.2,70.2,"2000-07-03 00:00:00",East
1,26,230,94,"2000-07-15 00:00:00",East
2,0.6,7.2,2.7,"2000-06-22 00:00:00",East
1,0.78,6.9,2.82,"2000-06-10 00:00:00",East
2,1.8,21.6,8.1,"2000-06-05 00:00:00",East
1,10.66,94.3,38.54,"2000-06-22 00:00:00",East
1,14.56,128.8,52.64,"2000-06-20 00:00:00",East
2,17.6,211.2,79.2,"2000-06-02 00:00:00",East
1,3.52,31.68,12.96,"2000-03-19 00:00:00",East
1,18.48,166.32,68.04,"2000-03-06 00:00:00",East
2,20,210,80,"2000-03-09 00:00:00",East
1,2.16,18.9,7.74,"2000-05-24 00:00:00",East
1,4.32,37.8,15.48,"2000-05-03 00:00:00",East
1,17.52,153.3,62.78,"2000-05-01 00:00:00",East
2,20,220,90,"2000-05-03 00:00:00",East
1,0.14,1.23,0.5,"2000-11-26 00:00:00",East
1,1.4,12.3,5,"2000-11-17 00:00:00",East
1,2.24,19.68,8,"2000-11-14 00:00:00",East
2,3.2,38.4,16,"2000-11-28 00:00:00",East
2,6.8,81.6,34,"2000-11-16 00:00:00",East
1,10.22,89.79,36.5,"2000-11-20 00:00:00",East
2,0.6,6,2.4,"2000-10-24 00:00:00",East
1,0.63,5.61,2.28,"2000-10-05 00:00:00",East
1,1.47,13.09,5.32,"2000-10-25 00:00:00",East
2,19.4,194,77.6,"2000-10-15 00:00:00",East
1,18.9,168.3,68.4,"2000-10-01 00:00:00",East
1,1.98,17.91,7.29,"2000-09-24 00:00:00",East
1,2.64,23.88,9.72,"2000-09-01 00:00:00",East
1,7.92,71.64,29.16,"2000-09-24 00:00:00",East
1,9.46,85.57,34.83,"2000-09-25 00:00:00",East
2,20,210,80,"2000-09-05 00:00:00",East
1,0.22,5.19,0.68,"2000-04-06 00:00:00",East
1,4.84,114.18,14.96,"2000-04-14 00:00:00",East
1,8.14,192.03,25.16,"2000-04-15 00:00:00",East
1,8.8,207.6,27.2,"2000-04-28 00:00:00",East
2,10,490,60,"2000-04-18 00:00:00",East
1,0.17,6.64,0.52,"2000-08-07 00:00:00",East
1,2.38,92.96,7.28,"2000-08-14 00:00:00",East
1,2.72,106.24,8.32,"2000-08-05 00:00:00",East
1,11.73,458.16,35.88,"2000-08-27 00:00:00",East
2,10,630,40,"2000-08-24 00:00:00",East
2,0.1,4.5,0.6,"2000-12-19 00:00:00",East
1,0.66,15.3,2.01,"2000-12-09 00:00:00",East
2,0.6,27,3.6,"2000-12-24 00:00:00",East
1,5.06,117.3,15.41,"2000-12-04 00:00:00",East
1,16.28,377.4,49.58,"2000-12-09 00:00:00",East
2,9.3,418.5,55.8,"2000-12-05 00:00:00",East
2,0.2,4.4,0.7,"2000-02-11 00:00:00",East
2,0.2,4.4,0.7,"2000-02-16 00:00:00",East
1,4.32,84.6,13.5,"2000-02-15 00:00:00",East
1,6,117.5,18.75,"2000-02-24 00:00:00",East
1,13.68,267.9,42.75,"2000-02-28 00:00:00",East
2,19.6,431.2,68.6,"2000-02-19 00:00:00",East
1,0.23,4.94,0.72,"2000-01-20 00:00:00",East
2,0.4,9.2,1.2,"2000-01-19 00:00:00",East
1,0.46,9.88,1.44,"2000-01-05 00:00:00",East
1,0.46,9.88,1.44,"2000-01-16 00:00:00",East
2,2.8,64.4,8.4,"2000-01-27 00:00:00",East
2,6.2,142.6,18.6,"2000-01-07 00:00:00",East
2,10.6,243.8,31.8,"2000-01-08 00:00:00",East
1,21.85,469.3,68.4,"2000-01-05 00:00:00",East
1,0.34,13.3,1.04,"2000-07-23 00:00:00",East
1,1.36,53.2,4.16,"2000-07-02 00:00:00",East
1,15.3,598.5,46.8,"2000-07-25 00:00:00",East
2,10,630,40,"2000-07-07 00:00:00",East
1,0.68,25.96,2.16,"2000-06-28 00:00:00",East
2,1.1,67.1,5.5,"2000-06-12 00:00:00",East
1,4.93,188.21,15.66,"2000-06-18 00:00:00",East
1,5.61,214.17,17.82,"2000-06-25 00:00:00",East
1,5.78,220.66,18.36,"2000-06-08 00:00:00",East
2,8.9,542.9,44.5,"2000-06-21 00:00:00",East
1,23,492,72,"2000-03-03 00:00:00",East
2,20,460,60,"2000-03-09 00:00:00",East
1,0.84,22.04,2.56,"2000-05-03 00:00:00",East
2,0.7,36.4,4.2,"2000-05-10 00:00:00",East
2,1,52,6,"2000-05-04 00:00:00",East
2,1.5,78,9,"2000-05-20 00:00:00",East
1,8.4,220.4,25.6,"2000-05-08 00:00:00",East
1,11.76,308.56,35.84,"2000-05-18 00:00:00",East
2,6.8,353.6,40.8,"2000-05-02 00:00:00",East
1,6.24,118.04,19.5,"2000-11-28 00:00:00",East
2,6.8,136,20.4,"2000-11-11 00:00:00",East
2,13.2,264,39.6,"2000-11-28 00:00:00",East
1,17.76,335.96,55.5,"2000-11-19 00:00:00",East
2,2,80,10,"2000-10-09 00:00:00",East
2,3.7,148,18.5,"2000-10-20 00:00:00",East
2,4.3,172,21.5,"2000-10-06 00:00:00",East
1,23,474,72,"2000-10-16 00:00:00",East
2,0.1,5.4,0.5,"2000-09-15 00:00:00",East
2,1.5,81,7.5,"2000-09-01 00:00:00",East
2,4.1,221.4,20.5,"2000-09-16 00:00:00",East
2,4.3,232.2,21.5,"2000-09-13 00:00:00",East
1,9.12,276.48,28.8,"2000-09-27 00:00:00",East
1,9.88,299.52,31.2,"2000-09-24 00:00:00",East
1,0.47,1.17,0.52,"2000-04-20 00:00:00",East
1,2.35,5.85,2.6,"2000-04-08 00:00:00",East
1,11.75,29.25,13,"2000-04-24 00:00:00",East
1,32.43,80.73,35.88,"2000-04-24 00:00:00",East
