sales,region,SKU_ALIAS,marketing,UDAMKTSIZE
8.4,East,Cola,1.08,"Major Market"
10.5,East,Cola,1.35,"Major Market"
34.2,East,Cola,3.6,"Major Market"
60.9,East,Cola,7.83,"Major Market"
64.6,East,Cola,6.8,"Major Market"
91.2,East,Cola,9.6,"Major Market"
130.2,East,Cola,16.74,"Major Market"
5.4,East,Cola,0.6,"Major Market"
40.04,East,Cola,5.18,"Major Market"
89.1,East,Cola,9.9,"Major Market"
94.38,East,Cola,12.21,"Major Market"
175.5,East,Cola,19.5,"Major Market"
151.58,East,Cola,19.61,"Major Market"
22.24,East,Cola,2.88,"Major Market"
260,East,Cola,30,"Major Market"
255.76,East,Cola,33.12,"Major Market"
1.9,East,Cola,0.2,"Major Market"
43.7,East,Cola,4.6,"Major Market"
144.4,East,Cola,15.2,"Major Market"
210,East,Cola,27,"Major Market"
37.4,East,Cola,3.4,"Major Market"
182.6,East,Cola,16.6,"Major Market"
235,East,Cola,31,"Major Market"
1.97,East,Cola,0.25,"Major Market"
53.19,East,Cola,6.75,"Major Market"
66.98,East,Cola,8.5,"Major Market"
74.86,East,Cola,9.5,"Major Market"
170,East,Cola,20,"Major Market"
39.1,East,Cola,2.3,"Major Market"
49.3,East,Cola,2.9,"Major Market"
36.9,East,Cola,4.86,"Major Market"
81.6,East,Cola,4.8,"Major Market"
168.1,East,Cola,22.14,"Major Market"
2.3,East,Cola,0.2,"Major Market"
24.9,East,Cola,3.2,"Major Market"
75.9,East,Cola,6.6,"Major Market"
64.74,East,Cola,8.32,"Major Market"
151.8,East,Cola,13.2,"Major Market"
159.36,East,Cola,20.48,"Major Market"
51.7,East,Cola,6.6,"Major Market"
131.6,East,Cola,16.8,"Major Market"
286.7,East,Cola,36.6,"Major Market"
456,East,Cola,63,"Major Market"
32.69,East,Cola,4.48,"Major Market"
98,East,Cola,12,"Major Market"
107.41,East,Cola,14.72,"Major Market"
137.2,East,Cola,16.8,"Major Market"
121.42,East,Cola,16.64,"Major Market"
254.8,East,Cola,31.2,"Major Market"
205.48,East,Cola,28.16,"Major Market"
520,East,Cola,70,"Major Market"
534,East,Cola,73,"Major Market"
24.78,East,Cola,3.36,"Major Market"
42.48,East,Cola,5.76,"Major Market"
92.5,East,Cola,10,"Major Market"
277.5,East,Cola,30,"Major Market"
286.74,East,Cola,38.88,"Major Market"
3.6,East,Cola,0.4,"Major Market"
115.2,East,Cola,12.8,"Major Market"
241.2,East,Cola,26.8,"Major Market"
345,East,Cola,47,"Major Market"
22.68,East,Cola,3.12,"Major Market"
181.44,East,Cola,24.96,"Major Market"
295,East,Cola,35,"Major Market"
295,East,Cola,35,"Major Market"
362.88,East,Cola,49.92,"Major Market"
70,East,Cola,8.4,"Major Market"
85,East,Cola,10.2,"Major Market"
160,East,Cola,19.2,"Major Market"
185,East,Cola,22.2,"Major Market"
478,East,Cola,66,"Major Market"
33.03,East,Cola,4.5,"Major Market"
133,East,Cola,14,"Major Market"
247,East,Cola,26,"Major Market"
333.97,East,Cola,45.5,"Major Market"
4.65,East,Cola,0.64,"Major Market"
74.4,East,Cola,10.24,"Major Market"
206.4,East,Cola,25.8,"Major Market"
273.6,East,Cola,34.2,"Major Market"
385.95,East,Cola,53.12,"Major Market"
68,East,Cola,8.5,"Major Market"
148,East,Cola,18.5,"Major Market"
184,East,Cola,23,"Major Market"
412,East,Cola,57,"Major Market"
143.13,East,Cola,19.5,"Major Market"
223.87,East,Cola,30.5,"Major Market"
370,East,Cola,30,"Major Market"
7.74,East,Cola,1.06,"Major Market"
150.93,East,Cola,20.67,"Major Market"
228.33,East,Cola,31.27,"Major Market"
400,East,Cola,50,"Major Market"
1.83,East,Cola,0.24,"Major Market"
14.03,East,Cola,1.84,"Major Market"
45.14,East,Cola,5.92,"Major Market"
60,East,Cola,0,"Major Market"
22.5,East,Cola,2.5,"Major Market"
67.5,East,Cola,7.5,"Major Market"
90,East,Cola,12,"Major Market"
12,East,Cola,0,"Major Market"
21.6,East,Cola,0,"Major Market"
26.4,East,Cola,0,"Major Market"
69,East,Cola,9,"Major Market"
60,East,Cola,0,"Major Market"
63,East,Cola,8,"Major Market"
24.8,East,Cola,3.2,"Major Market"
30,East,Cola,0,"Major Market"
30,East,Cola,0,"Major Market"
37.2,East,Cola,4.8,"Major Market"
18.2,East,Cola,0,"Major Market"
51.8,East,Cola,0,"Major Market"
75,East,Cola,10,"Major Market"
2.8,East,Cola,0,"Major Market"
25.9,East,Cola,0,"Major Market"
41.3,East,Cola,0,"Major Market"
70,East,Cola,9,"Major Market"
60,East,Cola,0,"Major Market"
63,East,Cola,8,"Major Market"
17,East,Cola,2.25,"Major Market"
21,East,Cola,0,"Major Market"
49,East,Cola,0,"Major Market"
51,East,Cola,6.75,"Major Market"
1.2,East,Cola,0,"Major Market"
2.56,East,Cola,0.32,"Major Market"
12,East,Cola,0,"Major Market"
11.52,East,Cola,1.44,"Major Market"
16.2,East,Cola,0,"Major Market"
17.92,East,Cola,2.24,"Major Market"
30.6,East,Cola,0,"Major Market"
32,East,Cola,4,"Major Market"
20.4,East,Cola,2.7,"Major Market"
23.12,East,Cola,3.06,"Major Market"
24.48,East,Cola,3.24,"Major Market"
29.4,East,Cola,0,"Major Market"
30.6,East,Cola,0,"Major Market"
0.7,East,Cola,0,"Major Market"
1.4,East,Cola,0,"Major Market"
12.24,East,Cola,1.7,"Major Market"
18.2,East,Cola,0,"Major Market"
49.7,East,Cola,0,"Major Market"
59.76,East,Cola,8.3,"Major Market"
3.44,East,Cola,0.36,"Major Market"
82.56,East,Cola,8.64,"Major Market"
100,East,Cola,0,"Major Market"
1.18,East,Cola,0.13,"Major Market"
4.2,East,Cola,0.3,"Major Market"
4.72,East,Cola,0.52,"Major Market"
10.62,East,Cola,1.17,"Major Market"
54.6,East,Cola,3.9,"Major Market"
81.2,East,Cola,5.8,"Major Market"
101.48,East,Cola,11.18,"Major Market"
120,East,Cola,13,"Major Market"
140,East,Cola,10,"Major Market"
2.82,East,Cola,0.3,"Major Market"
4.7,East,Cola,0.5,"Major Market"
6.58,East,Cola,0.7,"Major Market"
79.9,East,Cola,8.5,"Major Market"
110,East,Cola,0,"Major Market"
33,East,Cola,0,"Major Market"
67,East,Cola,0,"Major Market"
85,East,Cola,9,"Major Market"
1.2,East,Cola,0.1,"Major Market"
4.8,East,Cola,0.4,"Major Market"
6,East,Cola,0.5,"Major Market"
99,East,Cola,11,"Major Market"
108,East,Cola,9,"Major Market"
107,East,Cola,12,"Major Market"
130,East,Cola,10,"Major Market"
1,East,Cola,0,"Major Market"
2,East,Cola,0,"Major Market"
3,East,Cola,0,"Major Market"
82,East,Cola,9,"Major Market"
94,East,Cola,0,"Major Market"
99,East,Cola,11,"Major Market"
120,East,Cola,10,"Major Market"
115,East,Cola,13,"Major Market"
130,East,Cola,10,"Major Market"
4.76,East,Cola,0.52,"Major Market"
19.04,East,Cola,2.08,"Major Market"
95.2,East,Cola,10.4,"Major Market"
160,East,Cola,10,"Major Market"
3.57,East,Cola,0.39,"Major Market"
13.09,East,Cola,1.43,"Major Market"
102.34,East,Cola,11.18,"Major Market"
140,East,Cola,10,"Major Market"
5.19,East,Cola,0.22,"Major Market"
114.18,East,Cola,4.84,"Major Market"
192.03,East,Cola,8.14,"Major Market"
207.6,East,Cola,8.8,"Major Market"
490,East,Cola,10,"Major Market"
6.64,East,Cola,0.17,"Major Market"
92.96,East,Cola,2.38,"Major Market"
106.24,East,Cola,2.72,"Major Market"
458.16,East,Cola,11.73,"Major Market"
630,East,Cola,10,"Major Market"
4.5,East,Cola,0.1,"Major Market"
15.3,East,Cola,0.66,"Major Market"
27,East,Cola,0.6,"Major Market"
117.3,East,Cola,5.06,"Major Market"
377.4,East,Cola,16.28,"Major Market"
418.5,East,Cola,9.3,"Major Market"
4.4,East,Cola,0.2,"Major Market"
4.4,East,Cola,0.2,"Major Market"
84.6,East,Cola,4.32,"Major Market"
117.5,East,Cola,6,"Major Market"
267.9,East,Cola,13.68,"Major Market"
431.2,East,Cola,19.6,"Major Market"
4.94,East,Cola,0.23,"Major Market"
9.2,East,Cola,0.4,"Major Market"
9.88,East,Cola,0.46,"Major Market"
9.88,East,Cola,0.46,"Major Market"
64.4,East,Cola,2.8,"Major Market"
142.6,East,Cola,6.2,"Major Market"
243.8,East,Cola,10.6,"Major Market"
469.3,East,Cola,21.85,"Major Market"
13.3,East,Cola,0.34,"Major Market"
53.2,East,Cola,1.36,"Major Market"
598.5,East,Cola,15.3,"Major Market"
630,East,Cola,10,"Major Market"
25.96,East,Cola,0.68,"Major Market"
67.1,East,Cola,1.1,"Major Market"
188.21,East,Cola,4.93,"Major Market"
214.17,East,Cola,5.61,"Major Market"
220.66,East,Cola,5.78,"Major Market"
542.9,East,Cola,8.9,"Major Market"
492,East,Cola,23,"Major Market"
460,East,Cola,20,"Major Market"
22.04,East,Cola,0.84,"Major Market"
36.4,East,Cola,0.7,"Major Market"
52,East,Cola,1,"Major Market"
78,East,Cola,1.5,"Major Market"
220.4,East,Cola,8.4,"Major Market"
308.56,East,Cola,11.76,"Major Market"
353.6,East,Cola,6.8,"Major Market"
118.04,East,Cola,6.24,"Major Market"
136,East,Cola,6.8,"Major Market"
264,East,Cola,13.2,"Major Market"
335.96,East,Cola,17.76,"Major Market"
80,East,Cola,2,"Major Market"
148,East,Cola,3.7,"Major Market"
172,East,Cola,4.3,"Major Market"
474,East,Cola,23,"Major Market"
5.4,East,Cola,0.1,"Major Market"
81,East,Cola,1.5,"Major Market"
221.4,East,Cola,4.1,"Major Market"
232.2,East,Cola,4.3,"Major Market"
276.48,East,Cola,9.12,"Major Market"
299.52,East,Cola,9.88,"Major Market"
33.82,East,Cola,5.7,"Major Market"
144.18,East,Cola,24.3,"Major Market"
180,East,Cola,20,"Major Market"
56,East,Cola,7,"Major Market"
56,East,Cola,9.45,"Major Market"
104,East,Cola,13,"Major Market"
104,East,Cola,17.55,"Major Market"
42,East,Cola,5.6,"Major Market"
108,East,Cola,14.4,"Major Market"
153,East,Cola,25,"Major Market"
70,East,Cola,10.5,"Major Market"
130,East,Cola,19.5,"Major Market"
193,East,Cola,32,"Major Market"
1.9,East,Cola,0.32,"Major Market"
15.2,East,Cola,2.56,"Major Market"
172.9,East,Cola,29.12,"Major Market"
190,East,Cola,30,"Major Market"
3.38,East,Cola,0.56,"Major Market"
5.07,East,Cola,0.84,"Major Market"
8.5,East,Cola,1,"Major Market"
28.9,East,Cola,3.4,"Major Market"
132.6,East,Cola,15.6,"Major Market"
160.55,East,Cola,26.6,"Major Market"
170,East,Cola,20,"Major Market"
169,East,Cola,28,"Major Market"
1.9,East,Cola,0.3,"Major Market"
1.89,East,Cola,0.32,"Major Market"
17.01,East,Cola,2.88,"Major Market"
60.8,East,Cola,9.6,"Major Market"
127.3,East,Cola,20.1,"Major Market"
170.1,East,Cola,28.8,"Major Market"
10.38,East,Cola,1.74,"Major Market"
25.2,East,Cola,2.8,"Major Market"
48.6,East,Cola,5.4,"Major Market"
106.2,East,Cola,11.8,"Major Market"
162.62,East,Cola,27.26,"Major Market"
7.2,East,Cola,1.2,"Major Market"
19.8,East,Cola,3.3,"Major Market"
52.2,East,Cola,8.7,"Major Market"
100.8,East,Cola,16.8,"Major Market"
184,East,Cola,31,"Major Market"
5.31,East,Cola,0.9,"Major Market"
26.55,East,Cola,4.5,"Major Market"
170,East,Cola,10,"Major Market"
145.14,East,Cola,24.6,"Major Market"
9,East,Cola,1.2,"Major Market"
28.5,East,Cola,3.8,"Major Market"
36,East,Cola,4.8,"Major Market"
76.5,East,Cola,10.2,"Major Market"
150,East,Cola,25,"Major Market"
5.53,East,Cola,0.91,"Major Market"
7.2,East,Cola,0.8,"Major Market"
11.06,East,Cola,1.82,"Major Market"
23.4,East,Cola,2.6,"Major Market"
27,East,Cola,3,"Major Market"
25.28,East,Cola,4.16,"Major Market"
32.4,East,Cola,3.6,"Major Market"
37.13,East,Cola,6.11,"Major Market"
23.22,East,Cola,3.78,"Major Market"
26.66,East,Cola,4.34,"Major Market"
36,East,Cola,3.6,"Major Market"
36.12,East,Cola,5.88,"Major Market"
64,East,Cola,6.4,"Major Market"
6,East,Cola,0.6,"Major Market"
15,East,Cola,1.5,"Major Market"
79,East,Cola,7.9,"Major Market"
88,East,Cola,14,"Major Market"
74,East,Cola,12,"Major Market"
90,East,Cola,10,"Major Market"
3.8,East,Cola,0.6,"Major Market"
9.12,East,Cola,1.44,"Major Market"
18,East,Cola,2,"Major Market"
18.9,East,Cola,2.1,"Major Market"
53.1,East,Cola,5.9,"Major Market"
63.08,East,Cola,9.96,"Major Market"
1,East,Cola,0.1,"Major Market"
16.4,East,Cola,2.6,"Major Market"
47,East,Cola,4.7,"Major Market"
52,East,Cola,5.2,"Major Market"
65.6,East,Cola,10.4,"Major Market"
12,East,Cola,1.2,"Major Market"
13,East,Cola,1.3,"Major Market"
13,East,Cola,1.3,"Major Market"
62,East,Cola,6.2,"Major Market"
82,East,Cola,13,"Major Market"
3.75,East,Cola,0.6,"Major Market"
14.4,East,Cola,1.6,"Major Market"
36,East,Cola,4,"Major Market"
39.6,East,Cola,4.4,"Major Market"
71.25,East,Cola,11.4,"Major Market"
3.24,East,Cola,0.52,"Major Market"
4,East,Cola,0.4,"Major Market"
15.39,East,Cola,2.47,"Major Market"
18,East,Cola,1.8,"Major Market"
62.37,East,Cola,10.01,"Major Market"
78,East,Cola,7.8,"Major Market"
2.4,East,Cola,0.3,"Major Market"
3.2,East,Cola,0.4,"Major Market"
11.84,East,Cola,1.92,"Major Market"
19.98,East,Cola,3.24,"Major Market"
32,East,Cola,4,"Major Market"
42.4,East,Cola,5.3,"Major Market"
42.18,East,Cola,6.84,"Major Market"
5.39,East,Cola,0.84,"Major Market"
25,East,Cola,2.5,"Major Market"
75,East,Cola,7.5,"Major Market"
71.61,East,Cola,11.16,"Major Market"
21.84,East,Cola,3.6,"Major Market"
47.3,East,Cola,4.3,"Major Market"
62.7,East,Cola,5.7,"Major Market"
69.16,East,Cola,11.4,"Major Market"
9.9,East,Cola,0.9,"Major Market"
37.4,East,Cola,3.4,"Major Market"
62.7,East,Cola,5.7,"Major Market"
125,East,Cola,16,"Major Market"
12.8,East,Cola,1.68,"Major Market"
150,East,Cola,10,"Major Market"
147.2,East,Cola,19.32,"Major Market"
100,East,Cola,10,"Major Market"
122,East,Cola,15,"Major Market"
100,East,Cola,10,"Major Market"
114,East,Cola,14,"Major Market"
1.1,East,Cola,0.1,"Major Market"
3.3,East,Cola,0.3,"Major Market"
13.2,East,Cola,1.2,"Major Market"
28.8,East,Cola,3.6,"Major Market"
91.2,East,Cola,11.4,"Major Market"
92.4,East,Cola,8.4,"Major Market"
19.5,East,Cola,1.3,"Major Market"
39,East,Cola,2.6,"Major Market"
91.5,East,Cola,6.1,"Major Market"
160,East,Cola,21,"Major Market"
140,East,Cola,10,"Major Market"
156,East,Cola,20,"Major Market"
38.08,East,Cola,4.8,"Major Market"
52.8,East,Cola,4.8,"Major Market"
57.2,East,Cola,5.2,"Major Market"
80.92,East,Cola,10.2,"Major Market"
4.8,East,Cola,0.4,"Major Market"
6,East,Cola,0.5,"Major Market"
27.6,East,Cola,2.3,"Major Market"
81.6,East,Cola,6.8,"Major Market"
132,East,Cola,17,"Major Market"
35.1,East,Cola,3.9,"Major Market"
54.9,East,Cola,6.1,"Major Market"
41.42,East,Cola,5.32,"Major Market"
67.58,East,Cola,8.68,"Major Market"
13.5,East,Cola,0,"Major Market"
14.4,East,Cola,0,"Major Market"
18.9,East,Cola,0,"Major Market"
43.2,East,Cola,0,"Major Market"
114,East,Cola,14,"Major Market"
38.92,East,Cola,5.04,"Major Market"
41.7,East,Cola,5.4,"Major Market"
58.38,East,Cola,7.56,"Major Market"
130,East,Cola,10,"Major Market"
3,East,Cola,0.2,"Major Market"
13.5,East,Cola,0.9,"Major Market"
27.5,East,Cola,3.52,"Major Market"
97.5,East,Cola,12.48,"Major Market"
133.5,East,Cola,8.9,"Major Market"
24,East,Cola,2.4,"Major Market"
24,East,Cola,2.4,"Major Market"
46.4,East,Cola,6.09,"Major Market"
113.6,East,Cola,14.91,"Major Market"
152,East,Cola,15.2,"Major Market"
40.6,East,Cola,2.9,"Major Market"
99.4,East,Cola,7.1,"Major Market"
122,East,Cola,15,"Major Market"
53.58,East,Cola,6.58,"Major Market"
65.8,East,Cola,4.7,"Major Market"
60.42,East,Cola,7.42,"Major Market"
74.2,East,Cola,5.3,"Major Market"
3.6,East,Cola,0.45,"Major Market"
6,East,Cola,0.75,"Major Market"
7.5,East,Cola,0.5,"Major Market"
18,East,Cola,1.2,"Major Market"
51.6,East,Cola,6.45,"Major Market"
58.8,East,Cola,7.35,"Major Market"
124.5,East,Cola,8.3,"Major Market"
160,East,Cola,21,"Major Market"
200,East,Cola,20,"Major Market"
3.12,East,Cola,0.4,"Major Market"
70.2,East,Cola,9,"Major Market"
82.68,East,Cola,10.6,"Major Market"
190,East,Cola,10,"Major Market"
4.2,East,Cola,0.3,"Major Market"
16.8,East,Cola,1.2,"Major Market"
18.2,East,Cola,1.3,"Major Market"
100.8,East,Cola,7.2,"Major Market"
119,East,Cola,15,"Major Market"
1.6,East,Cola,0.1,"Major Market"
8,East,Cola,0.5,"Major Market"
17.6,East,Cola,1.1,"Major Market"
132.8,East,Cola,8.3,"Major Market"
132,East,Cola,17,"Major Market"
13.08,East,Cola,1.68,"Major Market"
42.51,East,Cola,5.46,"Major Market"
53.41,East,Cola,6.86,"Major Market"
120,East,Cola,10,"Major Market"
160,East,Cola,10,"Major Market"
114,East,Cola,14,"Major Market"
62.9,East,Cola,3.7,"Major Market"
107.1,East,Cola,6.3,"Major Market"
139,East,Cola,18,"Major Market"
261.3,East,Cola,31.2,"Major Market"
306.16,East,Cola,42.57,"Major Market"
405.84,East,Cola,56.43,"Major Market"
408.7,East,Cola,48.8,"Major Market"
54.6,East,Cola,7.62,"Major Market"
146.2,East,Cola,18.7,"Major Market"
189.2,East,Cola,24.2,"Major Market"
258,East,Cola,33,"Major Market"
266.6,East,Cola,34.1,"Major Market"
855.4,East,Cola,119.38,"Major Market"
6.2,East,Cola,0.8,"Major Market"
31,East,Cola,4,"Major Market"
55.8,East,Cola,7.2,"Major Market"
90.87,East,Cola,12.61,"Major Market"
111.84,East,Cola,15.52,"Major Market"
496.29,East,Cola,68.87,"Major Market"
527,East,Cola,68,"Major Market"
18.3,East,Cola,2.4,"Major Market"
213.5,East,Cola,28,"Major Market"
378.2,East,Cola,49.6,"Major Market"
645,East,Cola,90,"Major Market"
6.4,East,Cola,0.8,"Major Market"
33.9,East,Cola,4.7,"Major Market"
38.4,East,Cola,4.8,"Major Market"
51.2,East,Cola,6.4,"Major Market"
544,East,Cola,68,"Major Market"
644.1,East,Cola,89.3,"Major Market"
136.8,East,Cola,19.05,"Major Market"
346.56,East,Cola,48.26,"Major Market"
428.64,East,Cola,59.69,"Major Market"
860,East,Cola,110,"Major Market"
8.4,East,Cola,1.1,"Major Market"
33.6,East,Cola,4.4,"Major Market"
58.8,East,Cola,7.7,"Major Market"
204.7,East,Cola,28.52,"Major Market"
240.3,East,Cola,33.48,"Major Market"
445,East,Cola,62,"Major Market"
739.2,East,Cola,96.8,"Major Market"
57.6,East,Cola,7.2,"Major Market"
582.4,East,Cola,72.8,"Major Market"
675,East,Cola,94,"Major Market"
7.56,East,Cola,1.05,"Major Market"
7.56,East,Cola,1.05,"Major Market"
7.56,East,Cola,1.05,"Major Market"
28.4,East,Cola,3.6,"Major Market"
56.8,East,Cola,7.2,"Major Market"
624.8,East,Cola,79.2,"Major Market"
733.32,East,Cola,101.85,"Major Market"
11.2,East,Cola,1.4,"Major Market"
548.8,East,Cola,68.6,"Major Market"
623,East,Cola,87,"Major Market"
5.4,East,Cola,0.7,"Major Market"
16.2,East,Cola,2.1,"Major Market"
518.4,East,Cola,67.2,"Major Market"
650,East,Cola,91,"Major Market"
120,East,Cola,14.4,"Major Market"
210,East,Cola,25.2,"Major Market"
331.8,East,Cola,46.2,"Major Market"
420,East,Cola,50.4,"Major Market"
458.2,East,Cola,63.8,"Major Market"
6.6,East,Cola,0.6,"Major Market"
